,idade,nota,sexo,estado,aprovados
0,19,358.7334278873101,M,RJ,Reprovados
1,62,0.0,M,AL,Reprovados
2,77,522.5119160782162,M,AC,Reprovados
3,68,825.8325166934331,M,ES,Aprovado
4,37,483.3022784076719,M,RS,Reprovados
5,23,0.0,M,AM,Reprovados
6,50,768.9575315961034,F,MT,Aprovado
7,79,801.3316174311476,M,PA,Aprovado
8,19,0.0,F,PI,Reprovados
9,77,409.01457155368314,M,SE,Reprovados
13,46,587.5808099062084,F,AP,Reprovados
14,55,0.0,M,RJ,Reprovados
16,50,628.6836456805613,M,MS,Aprovado
18,29,399.3644027881893,M,BA,Reprovados
19,39,63.967471589755796,M,MG,Reprovados
21,52,58.167801946036654,M,MA,Reprovados
22,75,232.45424709148145,M,DF,Reprovados
24,19,785.0706799671027,F,SP,Aprovado
25,26,960.8593188359547,F,RO,Aprovado
26,59,219.06571374184247,M,AL,Reprovados
27,70,0.0,F,DF,Reprovados
28,29,776.7948796224208,F,MG,Aprovado
30,56,0.0,F,GO,Reprovados
31,45,0.0,F,SP,Reprovados
32,59,143.85632946711723,F,MA,Reprovados
33,38,381.58164440066247,M,PR,Reprovados
35,50,623.7055431560299,M,GO,Aprovado
36,66,189.3129648052262,M,MG,Reprovados
37,65,560.5767901311075,M,CE,Reprovados
41,60,645.2079840208636,F,RS,Aprovado
42,21,442.3367289096369,M,MT,Reprovados
44,22,67.82080729393947,M,RJ,Reprovados
45,57,0.0,F,SE,Reprovados
46,66,521.469740763793,M,PI,Reprovados
49,50,68.17991406068103,F,MS,Reprovados
51,30,668.7753983516784,M,RR,Aprovado
54,69,0.0,F,GO,Reprovados
56,54,744.5007492595956,M,SC,Aprovado
62,56,553.9471829653328,M,AP,Reprovados
63,74,133.20824684214915,F,RS,Reprovados
64,19,503.9831920178636,F,RJ,Reprovados
65,71,0.0,M,MS,Reprovados
66,21,639.9262736428418,M,CE,Aprovado
67,60,51.86068661871379,M,ES,Reprovados
69,33,748.9872411227209,F,RS,Aprovado
71,80,174.5060464735183,M,TO,Reprovados
72,31,486.95248142736716,F,MS,Reprovados
73,51,299.0007649750418,M,PI,Reprovados
74,47,708.8545047577514,M,MS,Aprovado
